अ,अ,आ
अ,उ,ओ
अ,ए,ऐ
इ,अ,य
इ,उ,यु
उ,अ,व
उ,उ,ऊ
त्,अ,द
त्,उ,दु
ट्,अ,ड
ट्,ज्,ड्ज्
ट्,न्,ण्न्
ट्,म्,ण्म्
ट्,ल्,ड्ल्
र्,अ,र
र्,श्,ःश्
र्,स्,ःस्
र्,क्,ःक्
र्,ख्,ःख्
र्,प्,ःप्
