2,शत
3,सहस्र
4,अयुत
5,लक्ष
6,प्रयुत
7,कोटि
8,अर्बुद
9,अब्ज
10,खर्व
11,निखर्व
12,महापद्म
13,शङ्कु
14,जलधि
15,अन्त्य
16,मध्य
17,परार्ध
